Source Page URL,Name,industry,specialties,companySize,Type,Founded,Hqaddress,Hqcity,Hqstate,Hqzip,Hqcountry,Blurb,website
https://www.linkedin.com/company/3m,3M,Mechanical or Industrial Engineering,"Innovation, Collaboration, Global, Diverse Career Opportunities","10,001+ employees",Public Company,1902,,,,,,"Over the years, our innovations have improved daily life for hundreds of millions of people all over the world. We have made driving at night easier, made buildings safer, and made consumer electronics lighter, less energy-intensive and less harmful to the environment. We even helped put a man on the moon. 3M is an incredible place.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2E3M%2Ecom%2Fcareers&urlhash=dBNz&trk=3M_website
https://www.linkedin.com/company/3red-trading,3Red,Financial Services,,11-50 employees,Privately Held,2010,"440 S. LaSalle, Suite 2200","Chicago,",IL,60605,United States,"3Red is a proprietary trading startup headquartered in the Chicago Loop, with a presence in New York. Weêre committed to leveraging technology and math to implement competitive trading strategies while managing risk and responding to dynamic market conditions. Technology and quantitative ingenuity are at our core. We hire extremely bright, talented, and motivated individuals to collaborate with each other and compete in the worldês financial markets. Our team has extensive, global experience in a wide variety of asset classes, risk management, and simple and complex technologies. Dedicated Technologists create all of our trading architecture, risk management systems, and software in-house. Algorithmic Traders extract information from a ton of data and leverage mathematical modeling to build automated trading algorithms.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2E3redgroup%2Ecom%2F&urlhash=YfTx&trk=3Red_website
https://www.linkedin.com/company/adage-technologies,Adage Technologies,Information Technology and Services,"Custom Software, Content Management, Mobile, Association Management Systems, Web Development",51-200 employees,Privately Held,2001,10 South Riverside Plaza,"Chicago,",Illinois,60606,United States,"Adage Technologies, an award-winning Chicago web development firm, specializes in creating engaging custom websites, custom software and mobile solutions since its inception in 2001. For more information, call 312.957.8665 or email us at Sales@AdageTechnologies.com or resumes@adagetechnologies.com",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Eadagetechnologies%2Ecom&urlhash=R5le&trk=Adage+Technologies_website
https://www.linkedin.com/company/alcatel-lucent,Alcatel-Lucent,Telecommunications,"Communications, Networks, Internet, Access, Broadband, Optics, Wireless, Mobile, IP","10,001+ employees",Public Company,2006,3 avenue Octave Gr_ard,"Paris,",,75007,France,"Alcatel-Lucent is at the forefront of global communications, providing products and innovations in IP and cloud networking, as well as ultra-broadband fixed and wireless access to service providers and their customers, enterprises and institutions throughout the world. Underpinning Alcatel-Lucent in driving the industrial transformation from voice telephony to high-speed digital delivery of data, video and information is Bell Labs, an integral part of Alcatel-Lucent and one of the worldês foremost technology research institutes, responsible for countless breakthroughs that have shaped the networking and communications industry. Alcatel-Lucent innovations have resulted in the company being recognized by Thomson Reuters as a Top 100 Global Innovator, as well as being named by MIT Technology Review as amongst 2012ês Top 50 –Worldês Most Innovative Companies”. Alcatel-Lucent has also been recognized for innovation in sustainability, being named Industry Group Leader for Technology Hardware & Equipment sector in the 2014 Dow Jones Sustainability Indices review for making global communications more sustainable, affordable and accessible, all in pursuit of the companyês mission to realize the potential of a connected world. With revenues of Euro 14.4 billion in 2013, Alcatel-Lucent is listed on the Paris and New York stock exchanges (Euronext and NYSE: ALU). The company is incorporated in France and headquartered in Paris.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Ealcatel-lucent%2Ecom&urlhash=XxxM&trk=Alcatel-Lucent_website
https://www.linkedin.com/company/allstate,Allstate,Insurance,"Auto Insurance, Life Insurance, Retirement Planning, Homeowners Insurance, Motorcycle Insurance, Boat Insurance, RV Insurance, Bundled Insurance, Renter's Insurance, Flood Insurance, Roadside Assistance, General Liability, Annuities, & More","10,001+ employees",Public Company,,2775 Sanders Road,"Northbrook,",IL,60062,United States,"We are the Good Hands: We help people realize their hopes and dreams through products and services designed to protect them from lifeês uncertainties and to prepare them for the future. The Allstate Corporation is the largest publicly held personal lines property and casualty insurer in America. Allstate was founded in 1931 and became a publicly traded company in 1993. As of year-end 2012, Allstate had $127 Billion in total assets. In 2012, Allstate was number 93 on the Fortune 500 list of largest companies in America.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Eallstate%2Ecom&urlhash=Gc4N&trk=Allstate_website
,,,,,,,,,,,,,
,,,,,,,,,,,,,
https://www.linkedin.com/company/baxter-healthcare,Baxter International Inc.,Pharmaceuticals,"Medical Devices, Pharmaceuticals and Biotechnology","10,001+ employees",Public Company,1931,,,,,,"Baxter International Inc., through its subsidiaries, develops, manufactures and markets products that save and sustain the lives of people with hemophilia, immune disorders, infectious diseases, kidney disease, trauma, and other chronic and acute medical conditions. As a global, diversified healthcare company, Baxter applies a unique combination of expertise in medical devices, pharmaceuticals and biotechnology to create products that advance patient care worldwide. Baxter had 2013 sales of $15.3 billion and has approximately 61,500 employees.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Ebaxter%2Ecom&urlhash=JzsH&trk=Baxter+International+Inc%2E_website
https://www.linkedin.com/company/belcan-engineering,Belcan Engineering,Aviation & Aerospace,"engineering, analysis, design, FEA, CFD, controls","5001-10,000 employees",Privately Held,1958,,,,,,"Belcan Corporation provides engineering, specialty equipment design and build, engineering and software training, technical and temporary staffing, information technology, and multimedia and e-learning services. Belcan offers engineering services, which include design engineering, engineering analysis, computer modeling, and manufacturing techniques; specialized services that include software sales, technical support, and training and mentoring; and controls engineering, specialty equipment, software engineering and development, and training. The company also offers information technology services, which include enterprise consulting, system integration, network and telephony, data services, and staffing support solutions; multimedia services that include video production, eLearning, interactive media, 2D and 3D graphics, and presentation media. In addition, it also offers techservices and staffing solutions. Belcan serves aerospace and defense, business services, chemicals, energy and utilities, financial services, healthcare, internet, manufacturing, pharmaceuticals, software, and transportation industries. Belcan Corporation was founded in 1958 and is headquartered in Cincinnati, Ohio",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Ebelcan%2Ecom&urlhash=4xsc&trk=Belcan+Engineering_website
https://www.linkedin.com/company/belvedere-trading-llc,"Belvedere Trading, LLC",Financial Services,"Software Development, Market Maker Trading Strategies",51-200 employees,Privately Held,2002,10 South Riverside Plaza,"Chicago,",IL,60606,United States,"Founded in 2002, Belvedere Trading is a leading proprietary trading firm. We specialize in equity index, fixed income, and commodity derivatives. Belvedere Tradingês employees act as market makers, ensuring liquidity by laying two sided markets to help provide an orderly market place in the products we trade. We trade electronically from our headquarters in downtown Chicago, and have traders on the floors of the following exchanges: Chicago Board Options Exchange (CBOE), and CME Group which includes the Chicago Mercantile Exchange (CME), Chicago Board of Trade (CBOT), New York Mercantile Exchange (NYMEX), and the Commodity Exchange (COMEX). Our trading models and software systems are continuously reengineered, optimized, and maintained by our technology department. Belvedere Tradingês success and rapid growth is the direct result of our market experience and relentless focus on the training and development of our employees. Our aggressive drive for efficiency, use of cutting edge technology, and talented people contribute to our growth and success. At Belvedere Trading, we encourage all employees to play an integral part in the creative process. We are able to achieve successful technical implementations by utilizing resources effectively, promoting an open learning environment, and encouraging creativity. Everyone has an opportunity to be a key player in the future of Belvedere Trading.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Ebelvederetrading%2Ecom&urlhash=kYv9&trk=Belvedere+Trading%2C+LLC_website
