empId,name,branch,website,industry,type,address1,address2,city,state,zip,country,phone,fax,profile,onlineapp,majors,indirectory,facebook,twitter,linkedin,website-www,,,_pageUrl,,country/_source
721,General Dynamics Electric Boat,,http://www.gdeb.com,Engineering,Private,75 Eastern Point Road,,Groton,CT,6340,USA,800-742-9692,860-433-5508,For Employment Opportunities visit the following address: https://careers-gd-electricboat.icims.com/ Additional information regarding different departments and the work being performed by different disciplines can be found here: http://www.gdeb.com/careers/working_at_eb/eng_design/engineering_disciplines.html,https://careers-gd-electricboat.icims.com/,CmpE - Computer Engineering CS - Computer Science EE - Electrical Engineering EnvE - Environmental Engineering ME - Mechanical Engineering CE - Civil Engineering,TRUE,,,,www.gdeb.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,721,United States
1814,Institute for Defense Analyses,,https://www.ida.org,Aerospace; Chemicals; Computers; Engineering; High Tech - Information Technology; Military & Defense; Research; Sciences,Non-Profit/NGO,4850 Mark Center Drive,,Alexandria,VA,22311,USA,703-845-2086,,The Institute for Defense Analyses (IDA) is a not-for-profit organization that operates three think tanks supporting federal decision making: two serving the Department of Defense and one serving the Office of Science and Technology Policy in the Executive Office of the President. The IDA Centers provide objective analyses of national security issues particularly those requiring scientific and technical expertise and conduct related research on other national challenges. IDA offers a competitive salary an excellent benefits package and a superior professional working environment. To the right individual IDA offers the opportunity to have a major impact on key national programs while working on fascinating technical issues. Individuals selected for employment at IDA are subject to a security investigation and must meet the requirements for access to classified information. U. S. citizenship is required. IDA is proud to be an equal opportunity employer.,https://www.ida.org/en/CareersAtIDA.aspx,AM - Applied Mathematics ChE - Chemical Engineering CmpE - Computer Engineering CS - Computer Science Econ - Economics EE - Electrical Engineering IE - Industrial Engineering MatSE - Materials Science and Engineering MSIT - MS Information Technology TAM - Theoretical and Applied Mathematics MSiA - MS in Analytics MIES - McCormick Integrated Engineering Studies,TRUE,,,,https://www.ida.org,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1814,United States
1586,Atomatic Mechanical Services,,http://www.atomatic.com,Engineering,Private,3733 N Ventura Drive,,Arlington Heights,IL,60004,USA,8478184300,,For over 65 years Atomatic Mechanical Services has been dedicated to quality design installation and service of HVAC systems for the commercial institutional industrial and residential building markets throughout metropolitan Chicago. Our solid reputation is built on high standards innovative designs and exceptional customer service. We honor our word and commitments. Atomatic‰Ûªs ultimate goal is to continually meet the changing needs of our customers and exceed their expectations.,,ME - Mechanical Engineering,TRUE,,,,www.atomatic.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1586,United States
160,CENTRAL INTELLIGENCE AGENCY (CIA),,http://www.cia.gov,Government/Public Administration,Government,Recruitment Center,,Washington,DC,20505,USA,202-379-6568,,The Central Intelligence Agency (CIA) is an independent US Government agency whose mission is to collect analyze evaluate and disseminate foreign intelligence to assist the President and senior US government policymakers in making decisions relating to national security. We carry out our mission by: Collecting information that reveals the plans intentions and capabilities of our adversaries and provides the basis for decision and action; Producing timely analysis that provides insight warning and opportunity to the President and decisionmakers charged with protecting and advancing America‰Ûªs interests; Conducting covert action at the direction of the President to preempt threats or achieve US policy objectives.,www.cia.gov,AM - Applied Mathematics BME - Biomedical Engineering ChE - Chemical Engineering CmpE - Computer Engineering CS - Computer Science EE - Electrical Engineering IE - Industrial Engineering MBP - Masters of Biotechnology Program ME - Mechanical Engineering MEM - Masters of Engineering Management MMM - MEM + MBA MPM - Masters of Project Management MatSE - Materials Science and Engineering MSIT - MS Information Technology TAM - Theoretical and Applied Mathematics ISP - Integrated Science Program MSiA - MS in Analytics,TRUE,,,,www.cia.gov,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,160,United States
1580,Hill International Inc.,,http://hillintl.com,Construction,Public,303 Lippincott Centre,,Marlton,NJ,8053,USA,856-552-6715,,Hill provided Program Management Project Management Construction Management Construction Claims Services.,,ME - Mechanical Engineering CE - Civil Engineering,TRUE,,,,hillintl.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1580,United States
1285,Clarity Solution Group,,http://www.clarity-us.com/,Consulting; High Tech - Information Technology,Private,150 S. Wacker,Suite 2750,Chicago,IL,60606,USA,312.288.8428,,Clarity Solution Group is a data and analytics firm providing expert consulting solutions and services with an uncompromising focus on client success. Clients trust us to produce innovative value-inspired solutions that leverage existing investments and quickly generate results. Our elite team of professionals is transforming the way companies think about organize and use their data. In addition Clarity believes in the practice of hiring the best and growing our leadership team from within through our Leadership Development Program. Clarity continues to flourish and has been featured on the Inc. 5000 Fastest Growing Companies list five years in a row. In addition Clarity has made it into the top 10 best places to work in Illinois for the second year in a row.,,AM - Applied Mathematics CmpE - Computer Engineering CS - Computer Science EE - Electrical Engineering IE - Industrial Engineering ME - Mechanical Engineering MSIT - MS Information Technology TAM - Theoretical and Applied Mathematics UND - Undecided MSiA - MS in Analytics,TRUE,,,,http://www.clarity-us.com/,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1285,United States
117,PROCTER & GAMBLE COMPANY,237,http://www.experiencePG.com,Chemicals; Consumer Products,Public,1 Procter & Gamble Plaza,,Cincinnati,OH,45202,USA,(513) 410-2370 or 513.983.1100,,"The simple inspiring way to think about this opportunity is that P&G brands serve about 4.4 billion of the nearly seven billion people on the planet today. Before P&G can serve the world's remaining consumers profitably we can reach them altruistically. We can improve their lives in ways that enable them to thrive to increase their quality of living and over time to join the population of consumers we serve with P&G brands. Through our overall Live Learn & Thrive‰ã¢ cause program initiatives such as Children‰Ûªs Safe Drinking Water and Pampers 1 Pack = 1 Vaccine are examples of how we are improving the lives of millions of people every day. Our shared Purpose attracts and unites an extraordinary group of people P&Gers around the world‰ÛÓthe most diverse workforce in P&G history. Together we represent around 145 nationalities. Our recruiting and development philosophy to ""build from within"" fosters a strong culture of trust and shared experiences. Our diversity our shared culture and our unified Purpose are the defining elements that enable P&G to touch lives and improve life every day.",www.experiencePG.com,BME - Biomedical Engineering ChE - Chemical Engineering MaDE - Manufacturing and Design Engineering ME - Mechanical Engineering MatSE - Materials Science and Engineering MSEDI - MS Engineering Design and Innovation,TRUE,,,,www.experiencePG.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,117,United States
118,FORD MOTOR COMPANY,239,http://www.ford.com,Automotive,Public,20901 Oakwood Boulevard,Room 2C-B37 MD 112,Dearborn,MI,48124-4077,USA,(313) 390-1501 OR (313) 594-9704,(313) 317-2276,Ford Motor Company a global automotive industry leader based in Dearborn Mich. manufactures or distributes automobiles across six continents. With about 166000 employees and about 70 plants worldwide the company's automotive brands include Ford and Lincoln. The company provides financial services through Ford Motor Credit Company. The company has joint ventures with Mazda; Getrag Deutsche Venture GmbH and Co. KG; Neumayer Tekfor GmbH; Song Cong Diesel; and Lio Ho Group.,,CmpE - Computer Engineering CS - Computer Science EE - Electrical Engineering MaDE - Manufacturing and Design Engineering ME - Mechanical Engineering MEM - Masters of Engineering Management MMM - MEM + MBA MPDD - Masters of Product Design and Development MPM - Masters of Project Management MSEDI - MS Engineering Design and Innovation MSIT - MS Information Technology,TRUE,www.facebook.com/ford,,www.linkedin.com/companies/1483,www.ford.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,118,United States
1084,MPC,,http://www.mpc-inc.com,Automotive; Engineering; Manufacturing; Rubbers & Plastics,Private,837 Walworth Street,,Walworth,WI,53184,USA,262-275-5791 ext 2346,,MPC leading the way in the design development and manufacturing of thermoplastic components since 1972. Through the use of cutting edge technology and innovative designs MPC has taken plastics to places it has never been before.,,IE - Industrial Engineering ME - Mechanical Engineering,TRUE,,,,www.mpc-inc.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1084,United States
1143,Groupon Inc.,,http://www.groupon.com/jobs,Computers; Engineering; High Tech - Information Technology,Public,600 W Chicago Ave Ste 400,,Chicago,IL,60654,USA,312-999-3328,,Groupon launched in November 2008 in Chicago features a daily deal on the best stuff to do eat see and buy in 45 countries around the world. Groupon uses collective buying power to offer huge discounts and provide a win-win for business and consumers delivering more than 1000 daily deals globally. Just under three years old Groupon pioneered the collective buying space and acts as a trusted local guide introducing active consumers to underexposed merchants in their city. Groupon is a discerning curator of the best local things to do and buy making life less boring for our customers. From skydiving or the chance to drive a Lamborghini to fish pedicures or an annual museum membership Groupon surprises people daily with the best local experiences most relevant to them. For businesses Groupon is a growth partner helping merchants increase awareness and reach new customers.,,CmpE - Computer Engineering CS - Computer Science,TRUE,,,,www.groupon.com/jobs,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1143,United States
